modul,fo_dpr,fo_pas,pas_meret
METRO,DLL\METRO\MAKEDLL\Metro.dpr,DLL\METRO\MAKEDLL\Unit2.pas,74569
NAPIFORG,DLL\NAPIFORG\MAKEDLL\Napiforg.dpr,DLL\NAPIFORG\MAKEDLL\Unit2.pas,21402
NAPIJEL,DLL\NAPIJEL\MAKEDLL\NAPIJEL.DPR,DLL\NAPIJEL\MAKEDLL\Unit2.pas,44103
NAPIKEZD,DLL\NAPIKEZD\MAKEDLL\napikezd.dpr,DLL\NAPIKEZD\MAKEDLL\Unit2.pas,29891
NAPKONYV,DLL\NAPKONYV\MAKEDLL\napkonyv.dpr,DLL\NAPKONYV\MAKEDLL\Unit2.pas,33147
NAPZAR,DLL\NAPZAR\MAKEDLL\Napzar.dpr,DLL\NAPZAR\MAKEDLL\Unit2.pas,44801
NAVZARO,DLL\NAVZARO\MAKEDLL\Navzaro.dpr,DLL\NAVZARO\MAKEDLL\Unit2.pas,25186
NZNYOMT,DLL\NZNYOMT\MAKEDLL\NzNyomt.dpr,DLL\NZNYOMT\MAKEDLL\Unit2.pas,54157
OTHERTSK,DLL\OTHERTSK\MAKEDLL\Othertsk.dpr,DLL\OTHERTSK\MAKEDLL\Unit2.pas,42156
OTP,DLL\OTP\MAKEDLL\otp.dpr,DLL\OTP\MAKEDLL\Unit2.pas,60277
OTPLOG,DLL\OTPLOG\MAKEDLL\otplog.dpr,DLL\OTPLOG\MAKEDLL\Unit2.pas,4812
PAUSDISP,DLL\PAUSDISP\MAKEDDLL\PausDisp.dpr,DLL\PAUSDISP\MAKEDDLL\Unit2.pas,6852
PILLALL,DLL\PILLALL\MAKEDLL\PILLALL.DPR,DLL\PILLALL\MAKEDLL\Unit2.pas,13365
PILLKESZ,DLL\PILLKESZ\MAKEDLL\PILLKESZ.DPR,DLL\PILLKESZ\MAKEDLL\Unit2.pas,65665
PROCEND,DLL\PROCEND\MAKEDLL\Procend.dpr,DLL\PROCEND\MAKEDLL\Unit2.pas,2832
PROSBE,DLL\PROSBE\MAKEDLL\Prosbe.dpr,DLL\PROSBE\MAKEDLL\Unit2.pas,20675
PROSKI,DLL\PROSKI\MAKEDLL\Proski.dpr,DLL\PROSKI\MAKEDLL\Unit2.pas,2584
PROSTMK,DLL\PROSTMK\MAKEDLL\Prostmk.dpr,DLL\PROSTMK\MAKEDLL\Unit2.pas,21648
PTARKESZ,DLL\PTARKESZ\MAKEDLL\AKTKESZ.DPR,DLL\PTARKESZ\MAKEDLL\Unit2.pas,7165
PTARTMK,DLL\PTARTMK\MAKEDLL\ptartmk.dpr,DLL\PTARTMK\MAKEDLL\Unit2.pas,15650
QRDEPUTY,DLL\QRDEPUTY\MAKEDLL\QRGENER.DPR,DLL\QRDEPUTY\MAKEDLL\Unit2.pas,25081
QRGENER,DLL\QRGENER\MAKEDLL\QRGENER.DPR,DLL\QRGENER\MAKEDLL\Unit2.pas,21732
QUITFORM,DLL\QUITFORM\MAKEDLL\QUITFORM.DPR,DLL\QUITFORM\MAKEDLL\Unit2.pas,10929
REGEN,DLL\REGEN\MAKEDLL\REGEN.DPR,DLL\REGEN\MAKEDLL\Unit2.pas,38865
REGIZARO,DLL\REGIZARO\MAKEDLL\REGIZARO.DPR,DLL\REGIZARO\MAKEDLL\Unit2.pas,5934
SCANNING,DLL\SCANNING\MAKEDLL\SCANNING.DPR,DLL\SCANNING\MAKEDLL\Unit2.pas,7162
SENDOKMANY,DLL\SENDOKMANY\MAKEDLL\SENDOKMANY.DPR,DLL\SENDOKMANY\MAKEDLL\Unit2.pas,11423
SETRATE,DLL\SETRATE\MAKEDLL\Setrate.dpr,DLL\SETRATE\MAKEDLL\Unit2.pas,4576
STORNO,DLL\STORNO\MAKEDLL\Storno.dpr,DLL\STORNO\MAKEDLL\Unit2.pas,36193
SUPER,DLL\SUPER\MAKEDLL\SUPER.DPR,DLL\SUPER\MAKEDLL\Unit2.pas,4650
SUPERTSK,DLL\SUPERTSK\MAKEDLL\SUPERTSK.DPR,DLL\SUPERTSK\MAKEDLL\Unit2.pas,10525
TEAOR,DLL\TEAOR\MAKEDLL\teaorsel.dpr,DLL\TEAOR\MAKEDLL\Unit2.pas,5198
TERMINAL,DLL\TERMINAL\MAKEDLL\Terminal.dpr,DLL\TERMINAL\MAKEDLL\Unit2.pas,3136
TERROR,DLL\TERROR\MAKEDLL\terrlist.dpr,DLL\TERROR\MAKEDLL\Unit2.pas,8210
TESCO,DLL\TESCO\MAKEDLL\Tesco.dpr,DLL\TESCO\MAKEDLL\Unit2.pas,55956
UGYFEL,DLL\UGYFEL\MAKEDLL\Ugyfel.dpr,DLL\UGYFEL\MAKEDLL\Unit2.pas,113608
UGYFELTMK,DLL\UGYFELTMK\MAKEDLL\UGYFTMK.DPR,DLL\UGYFELTMK\WUNION\MAKEDLL\Unit2.pas,91596
UJSCANNER,DLL\UJSCANNER\MAKEDLL\scanner.dpr,DLL\UJSCANNER\MAKEDLL\Unit2.pas,13792
VASARLAS,DLL\VASARLAS\MAKEDLL\Vasarlas.dpr,DLL\VASARLAS\MAKEDLL\Unit2.pas,104254
VERZFRIS,DLL\VERZFRIS\MAKEDLL\verzfris.dpr,DLL\VERZFRIS\MAKEDLL\Unit2.pas,34587
WUNION,DLL\WUNION\MAKEDLL\Wunion.dpr,DLL\WUNION\MAKEDLL\Unit2.pas,91366
XTRANZ,DLL\XTRANZ\MAKEDLL\Xtranz.dpr,DLL\XTRANZ\MAKEDLL\Unit2.pas,9380
_BASEDLL,?,DLL\_BASEDLL\Unit1.pas,647
