relative_path,area,provenance,extension,filename,basename,size_bytes,cluster,inferred_function,source_hint
Anti\VALUTA\DLL\KORLEV\NEWYEAR\NEWYEAR\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,700416,year-opening,Evnyito folyamat,
Anti\VALUTA\DLL\KORLEV\NEWYEAR\NEWYEAR\MAKEDLL\NEWYEAR.dll,VALUTA,original,.dll,NEWYEAR.dll,NEWYEAR,694784,year-opening,Evnyito folyamat,
Anti\VALUTA\DLL\KORLEV\NEWYEAR\SERVER\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,710144,year-opening,Evnyito folyamat,
Anti\VALUTA\DLL\LISTAK\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,1191424,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\LISTAK\MAKEDLL\Listak.dll,VALUTA,original,.dll,Listak.dll,Listak,1189376,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\LOGDISP\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,506880,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\LOGDISP\MAKEDLL\Logdisp.dll,VALUTA,original,.dll,Logdisp.dll,Logdisp,486912,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\LOGIRO\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,412672,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\LOGIRO\MAKEDLL\Logiro.dll,VALUTA,original,.dll,Logiro.dll,Logiro,372736,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MAIFORG\MAKEDLL\Maiforg.dll,VALUTA,original,.dll,Maiforg.dll,Maiforg,959488,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MAKTABLAK\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,705024,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MAKTABLAK\MAKEDLL\MAKTABLA.dll,VALUTA,original,.dll,MAKTABLA.dll,MAKTABLA,702464,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MATPTAR\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,981504,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MATPTAR\MAKEDLL\Matptar.dll,VALUTA,original,.dll,Matptar.dll,Matptar,979456,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MATREGEN\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,702464,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MATREGEN\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,411648,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MATREGEN\MAKEDLL\Matregen.dll,VALUTA,original,.dll,Matregen.dll,Matregen,699904,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MENTES\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,664576,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MENTES\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,389120,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\MENTES\MAKEDLL\MENTES.dll,VALUTA,original,.dll,MENTES.dll,MENTES,657920,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\METRO\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,1052160,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\METRO\MAKEDLL\Metro.dll,VALUTA,original,.dll,Metro.dll,Metro,1049600,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPIFORG\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,973824,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPIFORG\MAKEDLL\Napiforg.dll,VALUTA,original,.dll,Napiforg.dll,Napiforg,971264,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPIJEL\DEBUG\PROJECT1.EXE,VALUTA,original,.exe,PROJECT1.EXE,PROJECT1,915456,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPIJEL\MAKEDLL\NAPIJEL.dll,VALUTA,original,.dll,NAPIJEL.dll,NAPIJEL,912896,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPIKEZD\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,898048,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPIKEZD\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,416768,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPIKEZD\MAKEDLL\napikezd.dll,VALUTA,original,.dll,napikezd.dll,napikezd,894976,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPKONYV\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,904704,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPKONYV\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,416768,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPKONYV\MAKEDLL\napkonyv.dll,VALUTA,original,.dll,napkonyv.dll,napkonyv,902144,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAPZAR\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,834048,closing,Napzaras vagy closing workflow,
Anti\VALUTA\DLL\NAPZAR\MAKEDLL\Napzar.dll,VALUTA,original,.dll,Napzar.dll,Napzar,831488,closing,Napzaras vagy closing workflow,
Anti\VALUTA\DLL\NAVZARO\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,724992,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NAVZARO\MAKEDLL\Navzaro.dll,VALUTA,original,.dll,Navzaro.dll,Navzaro,722432,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NZNYOMT\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,859136,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\NZNYOMT\MAKEDLL\NzNyomt.dll,VALUTA,original,.dll,NzNyomt.dll,NzNyomt,857088,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\OTHERTSK\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,1351168,legacy-dll,Legacy plugin vagy shared library,
